threads,tiempo-carga,tiempo-maximo
1,0.0558787,0.000233435
2,0.0643426,0.000265621
3,0.0720491,0.000225862
4,0.0865463,0.000227901
5,0.102227,0.000158983
6,0.11344,0.000212207
7,0.123253,0.000164252
8,0.137091,0.00027603
9,0.151135,0.000412889
10,0.164929,0.00030595
11,0.166191,0.000405009
12,0.164581,0.000495544
13,0.165626,0.000492494
14,0.163862,0.00054385
15,0.164934,0.000421724
16,0.190203,0.000546672
17,0.188466,0.000596347
18,0.178933,0.000761794
19,0.184537,0.000734275
20,0.176229,0.000705384
