threads,tiempo-carga,tiempo-maximo
1,0.055494,0.000229445
2,0.0531675,0.00024766
3,0.0529491,0.000232811
4,0.0530661,0.00020514
5,0.0528134,0.000273007
6,0.0533718,0.000329583
7,0.0532271,0.000255174
8,0.0533103,0.000310528
9,0.0534538,0.000219279
10,0.05319,0.000283016
11,0.0531951,0.000294648
12,0.0541245,0.000258825
13,0.053156,0.000375179
14,0.0533544,0.000333859
15,0.0536417,0.00044751
16,0.0534194,0.000398603
17,0.0542557,0.00075716
18,0.0537954,0.00059256
19,0.0540042,0.000512818
20,0.0536713,0.000629621
