threads,tiempo-carga,tiempo-maximo
1,0.0890426,0.000455999
2,0.0501175,0.000320651
3,0.0413463,0.000263119
4,0.0458585,0.000325509
5,0.045162,0.000358735
6,0.0429761,0.000375575
7,0.0487191,0.000369889
8,0.0490855,0.000482569
9,0.046611,0.000408438
10,0.0470181,0.000471934
11,0.0455268,0.000629905
12,0.0548542,0.00061609
13,0.0525978,0.000677383
14,0.0454565,0.000702713
15,0.0476579,0.000673533
16,0.0474267,0.000908353
17,0.0478253,0.000623272
18,0.0531478,0.000627848
19,0.0542503,0.000909102
20,0.0486162,0.000883596
