threads,tiempo-carga,tiempo-maximo
1,0.125373,0.000281929
2,0.12402,0.000273826
3,0.183198,0.000224093
4,0.206523,0.000244245
5,0.177708,0.000298358
6,0.175661,0.000330647
7,0.174375,0.000307526
8,0.179079,0.000335252
9,0.176311,0.000364814
10,0.176934,0.000354256
11,0.175492,0.000484109
12,0.174628,0.000494785
13,0.175609,0.000359795
14,0.176809,0.000390101
15,0.17631,0.000366314
16,0.179929,0.000581131
17,0.176957,0.000644902
18,0.176603,0.000554043
19,0.178678,0.000602277
20,0.176761,0.000500091
