threads,tiempo-carga,tiempo-maximo
1,0.0949119,0.000186966
2,0.0952817,0.000146007
3,0.0950484,0.00014097
4,0.0953291,0.000147803
5,0.095506,0.000160077
6,0.0958741,0.000148751
7,0.0946566,0.000155166
8,0.0953388,0.000189842
9,0.0948718,0.0002174
10,0.0953171,0.000224853
11,0.0950688,0.000254118
12,0.100978,0.000255644
13,0.0990255,0.00028364
14,0.0957981,0.000304146
15,0.0954809,0.000320618
16,0.0963682,0.00034143
17,0.0954168,0.00035513
18,0.097884,0.000386351
19,0.103096,0.000389596
20,0.100071,0.000420499
